State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
Uttar Pradesh,AZAMGARH,1997,Kharif     ,Arhar/Tur,10853,6995
Uttar Pradesh,AZAMGARH,1997,Kharif     ,Bajra,214,219
Uttar Pradesh,AZAMGARH,1997,Kharif     ,Groundnut,73,65
Uttar Pradesh,AZAMGARH,1997,Kharif     ,Jowar,14,9
Uttar Pradesh,AZAMGARH,1997,Kharif     ,Maize,8799,9045
Uttar Pradesh,AZAMGARH,1997,Kharif     ,Moong(Green Gram),10,3
Uttar Pradesh,AZAMGARH,1997,Kharif     ,Oilseeds total,1076,594
Uttar Pradesh,AZAMGARH,1997,Kharif     ,Onion,768,7593
Uttar Pradesh,AZAMGARH,1997,Kharif     ,Rice,202707,419064
Uttar Pradesh,AZAMGARH,1997,Kharif     ,Sesamum,175,26
Uttar Pradesh,AZAMGARH,1997,Kharif     ,Small millets,330,254
Uttar Pradesh,AZAMGARH,1997,Kharif     ,Total foodgrain,453435,949679
Uttar Pradesh,AZAMGARH,1997,Kharif     ,Urad,223,92
Uttar Pradesh,AZAMGARH,1997,Rabi       ,Barley,4826,7810
Uttar Pradesh,AZAMGARH,1997,Rabi       ,Gram,6927,7690
Uttar Pradesh,AZAMGARH,1997,Rabi       ,Linseed,9,4
Uttar Pradesh,AZAMGARH,1997,Rabi       ,Masoor,127,110
Uttar Pradesh,AZAMGARH,1997,Rabi       ,Peas & beans (Pulses),9450,11293
Uttar Pradesh,AZAMGARH,1997,Rabi       ,Rapeseed &Mustard,789,458
Uttar Pradesh,AZAMGARH,1997,Rabi       ,Sunflower,30,41
Uttar Pradesh,AZAMGARH,1997,Rabi       ,Wheat,208030,486525
Uttar Pradesh,AZAMGARH,1997,Summer     ,Maize,163,257
Uttar Pradesh,AZAMGARH,1997,Summer     ,Moong(Green Gram),217,116
Uttar Pradesh,AZAMGARH,1997,Summer     ,Urad,545,197
Uttar Pradesh,AZAMGARH,1997,Whole Year ,Potato,5599,77910
Uttar Pradesh,AZAMGARH,1997,Whole Year ,Sugarcane,27664,1296003
Uttar Pradesh,AZAMGARH,1998,Kharif     ,Arhar/Tur,9664,8908
Uttar Pradesh,AZAMGARH,1998,Kharif     ,Bajra,208,258
Uttar Pradesh,AZAMGARH,1998,Kharif     ,Groundnut,48,31
Uttar Pradesh,AZAMGARH,1998,Kharif     ,Jowar,10,6
Uttar Pradesh,AZAMGARH,1998,Kharif     ,Maize,8047,5904
Uttar Pradesh,AZAMGARH,1998,Kharif     ,Moong(Green Gram),15,3
Uttar Pradesh,AZAMGARH,1998,Kharif     ,Ragi,18,23
Uttar Pradesh,AZAMGARH,1998,Kharif     ,Rice,199011,346646
Uttar Pradesh,AZAMGARH,1998,Kharif     ,Sesamum,149,18
Uttar Pradesh,AZAMGARH,1998,Kharif     ,Small millets,211,143
Uttar Pradesh,AZAMGARH,1998,Kharif     ,Soyabean,1,1
Uttar Pradesh,AZAMGARH,1998,Kharif     ,Urad,188,50
Uttar Pradesh,AZAMGARH,1998,Rabi       ,Barley,4910,7338
Uttar Pradesh,AZAMGARH,1998,Rabi       ,Gram,6656,7853
Uttar Pradesh,AZAMGARH,1998,Rabi       ,Linseed,11,4
Uttar Pradesh,AZAMGARH,1998,Rabi       ,Masoor,207,170
Uttar Pradesh,AZAMGARH,1998,Rabi       ,Peas & beans (Pulses),10196,12661
Uttar Pradesh,AZAMGARH,1998,Rabi       ,Rapeseed &Mustard,1274,1055
Uttar Pradesh,AZAMGARH,1998,Rabi       ,Sunflower,6,7
Uttar Pradesh,AZAMGARH,1998,Rabi       ,Wheat,212687,521201
Uttar Pradesh,AZAMGARH,1998,Summer     ,Maize,137,139
Uttar Pradesh,AZAMGARH,1998,Summer     ,Moong(Green Gram),164,71
Uttar Pradesh,AZAMGARH,1998,Summer     ,Urad,362,282
Uttar Pradesh,AZAMGARH,1998,Whole Year ,Onion,559,6750
Uttar Pradesh,AZAMGARH,1998,Whole Year ,Potato,5675,125122
Uttar Pradesh,AZAMGARH,1998,Whole Year ,Sannhamp,246,90
Uttar Pradesh,AZAMGARH,1998,Whole Year ,Sugarcane,24802,1087915
Uttar Pradesh,AZAMGARH,1998,Whole Year ,Tobacco,48,286
Uttar Pradesh,AZAMGARH,1998,Whole Year ,Turmeric,28,52
Uttar Pradesh,AZAMGARH,1999,Kharif     ,Arhar/Tur,9616,9371
Uttar Pradesh,AZAMGARH,1999,Kharif     ,Bajra,192,310
Uttar Pradesh,AZAMGARH,1999,Kharif     ,Groundnut,74,62
Uttar Pradesh,AZAMGARH,1999,Kharif     ,Jowar,14,17
Uttar Pradesh,AZAMGARH,1999,Kharif     ,Maize,8511,9486
Uttar Pradesh,AZAMGARH,1999,Kharif     ,Moong(Green Gram),8,2
Uttar Pradesh,AZAMGARH,1999,Kharif     ,Rice,203833,445549
Uttar Pradesh,AZAMGARH,1999,Kharif     ,Small millets,161,112
Uttar Pradesh,AZAMGARH,1999,Kharif     ,Sunflower,4,5
Uttar Pradesh,AZAMGARH,1999,Kharif     ,Urad,148,61
Uttar Pradesh,AZAMGARH,1999,Rabi       ,Barley,4267,7132
Uttar Pradesh,AZAMGARH,1999,Rabi       ,Gram,5967,5177
Uttar Pradesh,AZAMGARH,1999,Rabi       ,Linseed,3,1
Uttar Pradesh,AZAMGARH,1999,Rabi       ,Maize,134,194
Uttar Pradesh,AZAMGARH,1999,Rabi       ,Ragi,20,34
Uttar Pradesh,AZAMGARH,1999,Rabi       ,Rapeseed &Mustard,1017,706
Uttar Pradesh,AZAMGARH,1999,Rabi       ,Wheat,216884,535740
Uttar Pradesh,AZAMGARH,1999,Summer     ,Moong(Green Gram),156,115
Uttar Pradesh,AZAMGARH,1999,Summer     ,Rice,2,4
Uttar Pradesh,AZAMGARH,1999,Summer     ,Urad,324,221
Uttar Pradesh,AZAMGARH,1999,Whole Year ,Onion,730,10465
Uttar Pradesh,AZAMGARH,1999,Whole Year ,Peas & beans (Pulses),9700,10773
Uttar Pradesh,AZAMGARH,1999,Whole Year ,Potato,5745,71913
Uttar Pradesh,AZAMGARH,1999,Whole Year ,Sugarcane,23194,1008753
Uttar Pradesh,AZAMGARH,1999,Whole Year ,Tobacco,49,265
Uttar Pradesh,AZAMGARH,1999,Whole Year ,Turmeric,7,11
Uttar Pradesh,AZAMGARH,2000,Kharif     ,Arhar/Tur,9191,8824
Uttar Pradesh,AZAMGARH,2000,Kharif     ,Bajra,133,104
Uttar Pradesh,AZAMGARH,2000,Kharif     ,Groundnut,81,68
Uttar Pradesh,AZAMGARH,2000,Kharif     ,Jowar,12,14
Uttar Pradesh,AZAMGARH,2000,Kharif     ,Maize,7209,11912
